"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
3x3x3;00:24.292;B U' B' R B' U2 D2 L2 D' R' U' D2 L2 B L2 F B2 D2 R2 L2;2019-07-31 21:03;no;no;1564599709954;
3x3x3;00:21.183;U2 B2 R2 F L2 D2 R2 U2 B R F L' B' F2 D L' B' F' D2;2019-07-29 20:57;no;no;1564425913975;
3x3x3;00:18.499;U2 L' D2 L2 F2 D2 R D2 F2 L' B2 D R B D R' D' B2 U2 B2;2019-07-29 20:56;no;no;1564425913975;
3x3x3;00:20.671;F' D2 F L' F' D' B2 R F2 D2 L F2 B2 R2 D' R2 U B2 D2 B2;2019-07-29 20:53;no;no;1564425913975;
3x3x3;00:21.216;B2 R2 F2 D2 U2 R F2 D U L2 U' L' D2 U' F' D2 F R;2019-07-29 20:52;no;no;1564425913975;
3x3x3;00:23.903;D R2 F2 D' B2 U F2 D' R2 F2 D R' U2 F' L2 R B2 U R' U R2;2019-07-29 20:51;no;no;1564425913975;
3x3x3;00:20.773;F2 R2 F' D2 L2 R2 B2 D2 F' U2 R U' R2 D L B D' B L2;2019-07-29 20:49;no;no;1564425913975;
3x3x3;00:19.453;B2 U B2 F2 D2 L2 U' B2 U' L2 B L D' L2 R D' R U' F' D;2019-07-29 20:48;no;no;1564425913975;
3x3x3;00:22.458;F' D2 F2 D2 R2 U2 F U2 F2 L R2 D2 B U L F' L U' R2;2019-07-29 20:47;no;no;1564425913975;
3x3x3;00:20.774;D2 U2 L2 U2 B' U2 B L2 B D U B L' B D B2 R D2 U;2019-07-29 20:47;no;no;1564425913975;
3x3x3;00:24.643;F' B' R L B2 U R' B2 L U' B' R' F2 R U2 R' L2 B2 L;2019-07-29 20:46;no;no;1564425913975;
3x3x3;00:18.663;B2 D' L2 D B2 L2 D' R2 B2 U R2 B' R' D2 L' U L' B L B F2;2019-07-29 18:22;no;no;1564415494480;
3x3x3;00:24.732;B L U2 R F' R' L U' B' R L2 B' D2 F B U2 L2 F2 U2;2019-07-29 18:21;no;no;1564415494480;
